Start Time, Request Type, Latency, Response Code
19:48:42.358313500,POST,164,200
19:48:42.357316100,POST,162,200
19:48:42.353326900,POST,166,200
19:48:42.357316100,POST,162,200
19:48:42.355321300,POST,180,200
19:48:42.408182300,POST,110,200
19:48:42.359310700,POST,181,200
19:48:42.358313500,POST,160,200
19:48:42.354324100,POST,164,200
19:48:42.351332100,POST,167,200
19:48:42.357316100,POST,161,200
19:48:42.400202500,POST,118,200
19:48:42.395215200,POST,123,200
19:48:42.354324100,POST,177,200
19:48:42.402197400,POST,115,200
19:48:42.358313500,POST,180,200
19:48:42.395215200,POST,122,200
19:48:42.359310700,POST,194,200
19:48:42.355321300,POST,191,200
19:48:42.394217300,POST,136,200
19:48:42.360309200,POST,180,200
19:48:42.355321300,POST,175,200
19:48:42.354324100,POST,194,200
19:48:42.357316100,POST,174,200
19:48:42.356318800,POST,175,200
19:48:42.355321300,POST,162,200
19:48:42.399205,POST,118,200
19:48:42.352329800,POST,179,200
19:48:42.357316100,POST,174,200
19:48:42.358313500,POST,180,200
19:48:42.396212200,POST,121,200
19:48:42.353326900,POST,164,200
19:48:42.355321300,POST,175,200
19:48:42.407183600,POST,109,200
19:48:42.357316100,POST,193,200
19:48:42.397210200,POST,119,200
19:48:42.357316100,POST,159,200
19:48:42.356318800,POST,176,200
19:48:42.395215200,POST,121,200
19:48:42.354324100,POST,196,200
19:48:42.349337500,POST,176,200
19:48:42.354324100,POST,194,200
19:48:42.359310700,POST,197,200
19:48:42.359310700,POST,180,200
19:48:42.354324100,POST,179,200
19:48:42.359310700,POST,177,200
19:48:42.358313500,POST,193,200
19:48:42.418154300,POST,116,200
19:48:42.382249900,POST,152,200
19:48:42.353326900,POST,181,200
19:48:42.356318800,POST,178,200
19:48:42.398207100,POST,136,200
19:48:42.353326900,POST,195,200
19:48:42.351332100,POST,164,200
19:48:42.353326900,POST,179,200
19:48:42.418154300,POST,117,200
19:48:42.352329800,POST,198,200
19:48:42.357316100,POST,168,200
19:48:42.396212200,POST,119,200
19:48:42.356318800,POST,179,200
19:48:42.395215200,POST,120,200
19:48:42.381252600,POST,155,200
19:48:42.358313500,POST,157,200
19:48:42.357316100,POST,179,200
19:48:42.399205,POST,116,200
19:48:42.358313500,POST,196,200
19:48:42.351332100,POST,175,200
19:48:42.356318800,POST,180,200
19:48:42.350334500,POST,177,200
19:48:42.357316100,POST,158,200
19:48:42.357316100,POST,157,200
19:48:42.354324100,POST,160,200
19:48:42.356318800,POST,197,200
19:48:42.353326900,POST,185,200
19:48:42.414164700,POST,124,200
19:48:42.355321300,POST,183,200
19:48:42.359310700,POST,177,200
19:48:42.357316100,POST,176,200
19:48:42.414164700,POST,125,200
19:48:42.357316100,POST,157,200
19:48:42.353326900,POST,175,200
19:48:42.356318800,POST,158,200
19:48:42.399205,POST,115,200
19:48:42.352329800,POST,162,200
19:48:42.359310700,POST,177,200
19:48:42.358313500,POST,174,200
19:48:42.356318800,POST,157,200
19:48:42.357316100,POST,156,200
19:48:42.357316100,POST,186,200
19:48:42.357316100,POST,173,200
19:48:42.401199700,POST,112,200
19:48:42.395215200,POST,118,200
19:48:42.349337500,POST,166,200
19:48:42.356318800,POST,174,200
19:48:42.351332100,POST,162,200
19:48:42.351332100,POST,175,200
19:48:42.354324100,POST,191,200
19:48:42.357316100,POST,189,200
19:48:42.541824300,POST,5,200
19:48:42.358313500,POST,207,200
19:48:42.350334500,POST,196,200
19:48:42.406186800,POST,141,200
19:48:42.357316100,POST,190,200
19:48:42.357316100,POST,201,200
19:48:42.414164700,POST,134,200
19:48:42.348340400,POST,210,200
19:48:42.355321300,POST,193,200
19:48:42.348340400,POST,210,200
19:48:42.416159500,POST,135,200
19:48:42.359310700,POST,215,200
19:48:42.416159500,POST,136,200
19:48:42.358313500,POST,155,200
19:48:42.351332100,POST,203,200
19:48:42.456053,POST,98,200
19:48:42.456053,POST,99,200
19:48:42.354324100,POST,219,200
19:48:42.382249900,POST,208,200
19:48:42.415162200,POST,140,200
19:48:42.418154300,POST,137,200
19:48:42.357316100,POST,198,200
19:48:42.381252600,POST,175,200
19:48:42.351332100,POST,218,200
19:48:42.456053,POST,100,200
19:48:42.456053,POST,100,200
19:48:42.406186800,POST,150,200
19:48:42.382249900,POST,174,200
19:48:42.434111800,POST,122,200
19:48:42.457051500,POST,100,200
19:48:42.457051500,POST,100,200
19:48:42.357316100,POST,200,200
19:48:42.357316100,POST,218,200
19:48:42.431119700,POST,126,200
19:48:42.439098200,POST,119,200
19:48:42.359310700,POST,217,200
19:48:42.388234500,POST,171,200
19:48:42.440096400,POST,118,200
19:48:42.353326900,POST,160,200
19:48:42.358313500,POST,220,200
19:48:42.356318800,POST,203,200
19:48:42.359310700,POST,224,200
19:48:42.356318800,POST,204,200
19:48:42.457051500,POST,103,200
19:48:42.382249900,POST,178,200
19:48:42.460042700,POST,100,200
19:48:42.356318800,POST,221,200
19:48:42.406186800,POST,155,200
19:48:42.359310700,POST,225,200
19:48:42.463033800,POST,98,200
19:48:42.408182300,POST,153,200
19:48:42.393220400,POST,168,200
19:48:42.448074100,POST,113,200
19:48:42.460042700,POST,101,200
19:48:42.352329800,POST,225,200
19:48:42.356318800,POST,222,200
19:48:42.461039200,POST,101,200
19:48:42.349337500,POST,215,200
19:48:42.358313500,POST,216,200
19:48:42.460042700,POST,103,200
19:48:42.357316100,POST,217,200
19:48:42.355321300,POST,209,200
19:48:42.459045700,POST,105,200
19:48:42.350334500,POST,225,200
19:48:42.355321300,POST,209,200
19:48:42.381252600,POST,183,200
19:48:42.358313500,POST,207,200
19:48:42.354324100,POST,211,200
19:48:42.353326900,POST,159,200
19:48:42.481983400,POST,84,200
19:48:42.357316100,POST,208,200
19:48:42.395215200,POST,117,200
19:48:42.358313500,POST,154,200
19:48:42.409178600,POST,159,200
19:48:42.355321300,POST,213,200
19:48:42.351332100,POST,232,200
19:48:42.381252600,POST,231,200
19:48:42.355321300,POST,213,200
19:48:42.357316100,POST,155,200
19:48:42.381252600,POST,188,200
19:48:42.486970300,POST,83,200
19:48:42.350334500,POST,230,200
19:48:42.401199700,POST,111,200
19:48:42.381252600,POST,231,200
19:48:42.350334500,POST,231,200
19:48:42.481983400,POST,91,200
19:48:42.506916600,POST,68,200
19:48:42.354324100,POST,158,200
19:48:42.356318800,POST,172,200
19:48:42.358313500,POST,166,200
19:48:42.409178600,POST,102,200
19:48:42.354324100,POST,157,200
19:48:42.355321300,POST,156,200
19:48:42.524868700,POST,52,200
19:48:42.381252600,POST,196,200
19:48:42.381252600,POST,239,200
19:48:42.355321300,POST,222,200
19:48:42.359310700,POST,241,200
19:48:42.357316100,POST,154,200
19:48:42.351332100,POST,236,200
19:48:42.444084600,POST,128,200
19:48:42.481983400,POST,96,200
19:48:42.522875100,POST,50,200
19:48:42.354324100,POST,224,200
19:48:42.354324100,POST,216,200
19:48:42.382249900,POST,188,200
19:48:42.355321300,POST,223,200
19:48:42.350334500,POST,238,200
19:48:42.381252600,POST,242,200
19:48:42.416159500,POST,154,200
19:48:42.382249900,POST,197,200
19:48:42.355321300,POST,233,200
19:48:42.357316100,POST,223,200
19:48:42.350334500,POST,232,200
19:48:42.354324100,POST,232,200
19:48:42.460042700,POST,109,200
19:48:42.351332100,POST,233,200
19:48:42.356318800,POST,227,200
19:48:42.356318800,POST,224,200
19:48:42.484975100,POST,84,200
19:48:42.416159500,POST,152,200
19:48:42.382249900,POST,200,200
19:48:42.357316100,POST,211,200
19:48:42.353326900,POST,229,200
19:48:42.461039200,POST,121,200
19:48:42.354324100,POST,226,200
19:48:42.382249900,POST,201,200
19:48:42.409178600,POST,156,200
19:48:42.351332100,POST,229,200
19:48:42.386239700,POST,198,200
19:48:42.460042700,POST,125,200
19:48:42.382249900,POST,244,200
19:48:42.382249900,POST,203,200
19:48:42.558779100,POST,6,200
19:48:42.406186800,POST,158,200
19:48:42.354324100,POST,225,200
19:48:42.460042700,POST,102,200
19:48:42.408182300,POST,153,200
19:48:42.458047700,POST,103,200
19:48:42.406186800,POST,154,200
19:48:42.462036900,POST,96,200
19:48:42.358313500,POST,200,200
19:48:42.356318800,POST,202,200
19:48:42.407183600,POST,150,200
19:48:42.350334500,POST,218,200
19:48:42.454059400,POST,101,200
19:48:42.357316100,POST,198,200
19:48:42.355321300,POST,216,200
19:48:42.354324100,POST,216,200
19:48:42.356318800,POST,215,200
19:48:42.355321300,POST,198,200
19:48:42.354324100,POST,213,200
19:48:42.353326900,POST,213,200
19:48:42.357316100,POST,196,200
19:48:42.355321300,POST,213,200
19:48:42.350334500,POST,217,200
19:48:42.355321300,POST,212,200
19:48:42.357316100,POST,195,200
19:48:42.356318800,POST,196,200
19:48:42.357316100,POST,213,200
19:48:42.355321300,POST,216,200
19:48:42.357316100,POST,195,200
19:48:42.440096400,POST,112,200
19:48:42.382249900,POST,169,200
19:48:42.540826300,POST,3,200
19:48:42.542820600,POST,1,200
19:48:42.406186800,POST,137,200
19:48:42.356318800,POST,202,200
19:48:42.355321300,POST,203,200
19:48:42.352329800,POST,202,200
19:48:42.357316100,POST,181,200
19:48:42.437104900,POST,100,200
19:48:42.353326900,POST,184,200
19:48:42.353326900,POST,183,200
19:48:42.503924700,POST,94,200
19:48:42.355321300,POST,177,200
19:48:42.356318800,POST,176,200
19:48:42.382249900,POST,216,200
19:48:42.356318800,POST,242,200
19:48:42.572741600,POST,26,200
19:48:42.382249900,POST,217,200
19:48:42.413167500,POST,186,200
19:48:42.504922,POST,95,200
19:48:42.350334500,POST,263,200
19:48:42.350334500,POST,263,200
19:48:42.485973,POST,115,200
19:48:42.355321300,POST,245,200
19:48:42.382249900,POST,218,200
19:48:42.472010,POST,128,200
19:48:42.353326900,POST,177,200
19:48:42.353326900,POST,247,200
19:48:42.382249900,POST,259,200
19:48:42.359310700,POST,263,200
19:48:42.357316100,POST,264,200
19:48:42.463033800,POST,139,200
19:48:42.461039200,POST,138,200
19:48:42.447076800,POST,151,200
19:48:42.463033800,POST,135,200
19:48:42.382249900,POST,216,200
19:48:42.475001900,POST,127,200
19:48:42.453061400,POST,144,200
19:48:42.352329800,POST,258,200
19:48:42.460042700,POST,137,200
19:48:42.414164700,POST,183,200
19:48:42.353326900,POST,261,200
19:48:42.461039200,POST,136,200
19:48:42.352329800,POST,244,200
19:48:42.382249900,POST,214,200
19:48:42.381252600,POST,256,200
19:48:42.355321300,POST,241,200
19:48:42.381252600,POST,215,200
19:48:42.464031800,POST,140,200
19:48:42.352329800,POST,243,200
19:48:42.443087600,POST,152,200
19:48:42.354324100,POST,258,200
19:48:42.382249900,POST,213,200
19:48:42.348340400,POST,256,200
19:48:42.381252600,POST,265,200
19:48:42.355321300,POST,240,200
19:48:42.504922,POST,100,200
19:48:42.507913800,POST,97,200
19:48:42.350334500,POST,248,200
19:48:42.473007300,POST,132,200
19:48:42.509908800,POST,96,200
19:48:42.349337500,POST,269,200
19:48:42.381252600,POST,224,200
19:48:42.350334500,POST,266,200
19:48:42.359310700,POST,267,200
19:48:42.381252600,POST,225,200
19:48:42.414164700,POST,192,200
19:48:42.464031800,POST,142,200
19:48:42.495946400,POST,90,200
19:48:42.350334500,POST,243,200
19:48:42.381252600,POST,225,200
19:48:42.382249900,POST,224,200
19:48:42.351332100,POST,268,200
19:48:42.356318800,POST,223,200
19:48:42.381252600,POST,196,200
19:48:42.357316100,POST,250,200
19:48:42.460042700,POST,117,200
19:48:42.381252600,POST,266,200
19:48:42.467023900,POST,139,200
19:48:42.348340400,POST,259,200
19:48:42.381252600,POST,224,200
19:48:42.382249900,POST,222,200
19:48:42.382249900,POST,267,200
19:48:42.382249900,POST,266,200
19:48:42.417156800,POST,186,200
19:48:42.460042700,POST,147,200
19:48:42.352329800,POST,255,200
19:48:42.349337500,POST,264,200
19:48:42.557781300,POST,46,200
19:48:42.357316100,POST,246,200
19:48:42.453061400,POST,155,200
19:48:42.353326900,POST,262,200
19:48:42.352329800,POST,249,200
19:48:42.384244800,POST,224,200
19:48:42.468021400,POST,140,200
19:48:42.482980500,POST,127,200
19:48:42.382249900,POST,219,200
19:48:42.463033800,POST,146,200
19:48:42.351332100,POST,250,200
19:48:42.354324100,POST,247,200
19:48:42.506916600,POST,95,200
19:48:42.382249900,POST,219,200
19:48:42.525866700,POST,76,200
19:48:42.413167500,POST,196,200
19:48:42.414164700,POST,195,200
19:48:42.467023900,POST,141,200
19:48:42.358313500,POST,250,200
19:48:42.382249900,POST,270,200
19:48:42.475999900,POST,134,200
19:48:42.475999900,POST,134,200
19:48:42.356318800,POST,269,200
19:48:42.382249900,POST,227,200
19:48:42.355321300,POST,255,200
19:48:42.382249900,POST,225,200
19:48:42.461039200,POST,146,200
19:48:42.358313500,POST,252,200
19:48:42.468021400,POST,139,200
19:48:42.358313500,POST,273,200
19:48:42.481983400,POST,126,200
19:48:42.504922,POST,105,200
19:48:42.384244800,POST,226,200
19:48:42.482980500,POST,128,200
19:48:42.355321300,POST,255,200
19:48:42.358313500,POST,274,200
19:48:42.352329800,POST,271,200
19:48:42.475999900,POST,136,200
19:48:42.357316100,POST,254,200
19:48:42.475999900,POST,136,200
19:48:42.475999900,POST,136,200
19:48:42.354324100,POST,258,200
19:48:42.351332100,POST,272,200
19:48:42.348340400,POST,271,200
19:48:42.354324100,POST,258,200
19:48:42.353326900,POST,276,200
19:48:42.381252600,POST,275,200
19:48:42.522875100,POST,90,200
19:48:42.475001900,POST,137,200
19:48:42.381252600,POST,232,200
19:48:42.349337500,POST,277,200
19:48:42.474005100,POST,139,200
19:48:42.588698600,POST,25,200
19:48:42.588698600,POST,25,200
19:48:42.381252600,POST,270,200
19:48:42.522875100,POST,91,200
19:48:42.381252600,POST,232,200
19:48:42.419151800,POST,195,200
19:48:42.353326900,POST,277,200
19:48:42.489962300,POST,125,200
19:48:42.433114700,POST,181,200
19:48:42.589697100,POST,25,200
19:48:42.382249900,POST,232,200
19:48:42.348340400,POST,270,200
19:48:42.350334500,POST,277,200
19:48:42.435109900,POST,179,200
19:48:42.382249900,POST,268,200
19:48:42.483978200,POST,132,200
19:48:42.483978200,POST,132,200
19:48:42.483978200,POST,132,200
19:48:42.415162200,POST,200,200
19:48:42.353326900,POST,263,200
19:48:42.355321300,POST,279,200
19:48:42.382249900,POST,234,200
19:48:42.475001900,POST,141,200
19:48:42.416159500,POST,200,200
19:48:42.348340400,POST,276,200
19:48:42.422143600,POST,194,200
19:48:42.351332100,POST,279,200
19:48:42.382249900,POST,276,200
19:48:42.443087600,POST,174,200
19:48:42.381252600,POST,236,200
19:48:42.382249900,POST,276,200
19:48:42.381252600,POST,236,200
19:48:42.485973,POST,132,200
19:48:42.484975100,POST,133,200
19:48:42.429125100,POST,188,200
19:48:42.484975100,POST,133,200
19:48:42.428128100,POST,189,200
19:48:42.382249900,POST,278,200
19:48:42.381252600,POST,237,200
19:48:42.354324100,POST,279,200
19:48:42.349337500,POST,272,200
19:48:42.444084600,POST,175,200
19:48:42.483978200,POST,136,200
19:48:42.382249900,POST,237,200
19:48:42.418154300,POST,201,200
19:48:42.491957100,POST,128,200
19:48:42.593685100,POST,26,200
19:48:42.356318800,POST,263,200
19:48:42.382249900,POST,237,200
19:48:42.354324100,POST,280,200
19:48:42.381252600,POST,239,200
19:48:42.354324100,POST,283,200
19:48:42.354324100,POST,266,200
19:48:42.506916600,POST,114,200
19:48:42.495946400,POST,125,200
19:48:42.354324100,POST,266,200
19:48:42.354324100,POST,281,200
19:48:42.353326900,POST,267,200
19:48:42.415162200,POST,206,200
19:48:42.418154300,POST,203,200
19:48:42.381252600,POST,240,200
19:48:42.354324100,POST,267,200
19:48:42.381252600,POST,240,200
19:48:42.348340400,POST,281,200
19:48:42.382249900,POST,240,200
19:48:42.620612600,POST,2,200
19:48:42.483978200,POST,139,200
19:48:42.429125100,POST,193,200
19:48:42.445082700,POST,177,200
19:48:42.418154300,POST,204,200
19:48:42.445082700,POST,177,200
19:48:42.484975100,POST,138,200
19:48:42.484975100,POST,138,200
19:48:42.429125100,POST,193,200
19:48:42.439098200,POST,184,200
19:48:42.620612600,POST,2,200
19:48:42.622607600,POST,1,200
19:48:42.622607600,POST,1,200
19:48:42.485973,POST,138,200
19:48:42.623604800,POST,1,200
19:48:42.352329800,POST,288,200
19:48:42.623604800,POST,1,200
19:48:42.506916600,POST,118,200
19:48:42.381252600,POST,243,200
19:48:42.381252600,POST,243,200
19:48:42.418154300,POST,206,200
19:48:42.418154300,POST,207,200
19:48:42.352329800,POST,285,200
19:48:42.451066900,POST,174,200
19:48:42.453061400,POST,172,200
19:48:42.461039200,POST,164,200
19:48:42.506916600,POST,120,200
19:48:42.418154300,POST,208,200
19:48:42.419151800,POST,207,200
19:48:42.418154300,POST,208,200
19:48:42.485973,POST,141,200
19:48:42.461039200,POST,165,200
19:48:42.624602500,POST,2,200
19:48:42.485973,POST,141,200
19:48:42.461039200,POST,165,200
19:48:42.430123500,POST,197,200
19:48:42.485973,POST,141,200
19:48:42.429125100,POST,198,200
19:48:42.420149800,POST,207,200
19:48:42.430123500,POST,197,200
19:48:42.419151800,POST,208,200
19:48:42.419151800,POST,208,200
19:48:42.420149800,POST,207,200
19:48:42.506916600,POST,121,200
19:48:42.485973,POST,142,200
19:48:42.461039200,POST,166,200
19:48:42.420149800,POST,208,200
19:48:42.430123500,POST,198,200
19:48:42.445082700,POST,183,200
19:48:42.486970300,POST,142,200
19:48:42.508911300,POST,120,200
19:48:42.461039200,POST,168,200
19:48:42.454059400,POST,175,200
19:48:42.353326900,POST,276,200
19:48:42.445082700,POST,184,200
19:48:42.445082700,POST,184,200
19:48:42.486970300,POST,144,200
19:48:42.519882600,POST,111,200
19:48:42.459045700,POST,171,200
19:48:42.462036900,POST,168,200
19:48:42.352329800,POST,279,200
19:48:42.420149800,POST,211,200
19:48:42.430123500,POST,201,200
19:48:42.350334500,POST,294,200
19:48:42.462036900,POST,169,200
19:48:42.487967200,POST,144,200
19:48:42.434111800,POST,197,200
19:48:42.430123500,POST,201,200
19:48:42.350334500,POST,281,200
19:48:42.460042700,POST,171,200
19:48:42.486970300,POST,145,200
19:48:42.462036900,POST,170,200
19:48:42.381252600,POST,251,200
19:48:42.524868700,POST,108,200
19:48:42.492953800,POST,140,200
19:48:42.423142,POST,209,200
19:48:42.423142,POST,210,200
19:48:42.421158800,POST,212,200
19:48:42.439098200,POST,194,200
19:48:42.421158800,POST,212,200
19:48:42.524868700,POST,109,200
19:48:42.381252600,POST,292,200
19:48:42.431119700,POST,198,200
19:48:42.524868700,POST,109,200
19:48:42.446080,POST,188,200
19:48:42.492953800,POST,142,200
19:48:42.434111800,POST,195,200
19:48:42.447076800,POST,187,200
19:48:42.462036900,POST,171,200
19:48:42.424140100,POST,209,200
19:48:42.435109900,POST,198,200
19:48:42.488964900,POST,144,200
19:48:42.487967200,POST,145,200
19:48:42.492953800,POST,139,200
19:48:42.463033800,POST,168,200
19:48:42.445082700,POST,189,200
19:48:42.462036900,POST,169,200
