Start Time, Request Type, Latency, Response Code
21:37:56.304555400,POST,533,200
21:37:59.396656500,POST,397,200
21:37:59.412645200,POST,371,200
21:37:58.850990100,POST,432,200
21:37:59.199775500,POST,78,200
21:37:58.821008900,POST,452,200
21:37:58.824007300,POST,449,200
21:37:58.828004500,POST,442,200
21:37:59.147808700,POST,122,200
21:37:58.834000600,POST,139,200
21:37:58.827005600,POST,139,200
21:37:58.808017,POST,148,200
21:37:58.827005600,POST,129,200
21:37:58.841996400,POST,113,200
21:37:58.845993300,POST,1899,200
21:37:58.840996500,POST,112,200
21:37:58.845993300,POST,1917,200
21:37:58.840996500,POST,108,200
21:37:58.840996500,POST,1928,200
21:37:58.845993300,POST,1930,200
21:37:58.914951400,POST,1867,200
21:37:58.828004500,POST,113,200
21:37:58.845993300,POST,1942,200
21:37:58.831003100,POST,109,200
21:37:58.955926,POST,1838,200
21:37:59.146809600,POST,1654,200
21:37:58.812015100,POST,122,200
21:37:58.846992800,POST,1961,200
21:37:58.843994700,POST,1969,200
21:37:58.812015100,POST,120,200
21:37:58.811015800,POST,115,200
21:37:58.822008300,POST,96,200
21:37:58.830004200,POST,82,200
21:37:58.814012800,POST,3365,200
21:37:58.829004,POST,82,200
21:37:58.844994,POST,3339,200
21:37:58.828004500,POST,82,200
21:37:58.814012800,POST,3375,200
21:37:58.836999200,POST,3358,200
21:37:58.815012400,POST,3383,200
21:37:58.830004200,POST,3373,200
21:37:58.834000600,POST,72,200
21:37:58.831003100,POST,3383,200
21:37:59.152805400,POST,3064,200
21:37:58.822008300,POST,79,200
21:37:58.831003100,POST,70,200
21:37:58.813014300,POST,86,200
21:37:58.824007300,POST,67,200
21:37:58.838998300,POST,3404,200
21:37:58.843994700,POST,3406,200
21:37:58.838998300,POST,3420,200
21:37:59.172792500,POST,3094,200
21:37:59.172792500,POST,3097,200
21:37:58.837998300,POST,3437,200
21:37:58.840996500,POST,51,200
21:37:58.824007300,POST,3452,200
21:37:59.150807100,POST,3131,200
21:37:58.851989300,POST,3431,200
21:37:58.848991400,POST,3437,200
21:37:59.173791300,POST,3113,200
21:37:58.832002800,POST,58,200
21:37:58.814012800,POST,3475,200
21:37:59.406648900,POST,2887,200
21:37:58.829004,POST,3468,200
21:37:59.150807100,POST,3152,200
21:37:58.837998300,POST,54,200
21:37:58.848991400,POST,3461,200
21:37:58.920948400,POST,3424,200
21:37:59.167796,POST,3179,200
21:37:59.420641200,POST,2935,200
21:37:59.190780200,POST,3166,200
21:37:58.848991400,POST,3508,200
21:37:59.190780200,POST,3171,200
21:37:59.151806300,POST,3210,200
21:37:58.846992800,POST,3519,200
21:37:58.829004,POST,3536,200
21:37:59.405649500,POST,2963,200
21:37:58.848991400,POST,3521,200
21:37:58.823007700,POST,65,200
21:37:59.191780800,POST,3181,200
21:37:59.432633500,POST,2943,200
21:37:59.203773700,POST,3173,200
21:37:58.848991400,POST,3533,200
21:37:59.199775500,POST,3184,200
21:37:58.847991700,POST,3538,200
21:37:58.825006400,POST,59,200
21:37:59.416643300,POST,2972,200
21:38:02.409803600,POST,4,200
21:37:58.821008900,POST,63,200
21:37:58.821008900,POST,61,200
21:37:59.417641200,POST,3002,200
21:37:59.192780700,POST,3228,200
21:37:58.806017900,POST,68,200
21:37:58.847991700,POST,3577,200
21:37:59.418640800,POST,3009,200
21:37:58.807017,POST,64,200
21:37:59.419641500,POST,3016,200
21:37:58.847991700,POST,3595,200
21:37:58.836000100,POST,3611,200
21:37:59.193779500,POST,3256,200
21:37:58.810015100,POST,61,200
21:37:58.850990100,POST,3607,200
21:37:58.808017,POST,60,200
21:37:59.193779500,POST,3268,200
21:37:58.848991400,POST,3615,200
21:37:58.850990100,POST,3614,200
21:37:58.811015800,POST,57,200
21:37:59.419641500,POST,3048,200
21:38:02.460772100,POST,9,200
21:37:58.806017900,POST,3664,200
21:38:02.468767600,POST,4,200
21:37:58.850990100,POST,3624,200
21:37:58.808017,POST,3669,200
21:37:59.211769100,POST,3266,200
21:37:59.420641200,POST,3059,200
21:37:58.805019,POST,60,200
21:37:58.814012800,POST,3678,200
21:37:58.805019,POST,60,200
21:37:59.174790900,POST,3324,200
21:37:58.595148600,POST,8,200
21:37:59.421640100,POST,3082,200
21:37:58.594149400,POST,9,200
21:37:58.597147200,POST,3912,200
21:37:59.422639300,POST,3087,200
21:37:58.582156600,POST,11,200
21:37:58.595148600,POST,3920,200
21:37:59.423637400,POST,3092,200
21:37:58.583155,POST,10,200
21:37:58.581157600,POST,12,200
21:37:58.576160800,POST,17,200
21:37:58.599146,POST,3925,200
21:37:58.604142800,POST,3921,200
21:37:59.217764,POST,3312,200
21:37:58.581157600,POST,9,200
21:37:58.605143100,POST,3928,200
21:37:59.451621900,POST,3082,200
21:38:02.525732800,POST,11,200
21:37:58.605143100,POST,3931,200
21:37:58.571163800,POST,8,200
21:37:59.222762300,POST,3319,200
21:37:59.457617900,POST,3085,200
21:37:58.557173200,POST,11,200
21:37:58.557173200,POST,11,200
21:37:58.607140100,POST,3940,200
21:37:59.208770600,POST,3341,200
21:37:58.607140100,POST,3942,200
21:37:58.554174500,POST,9,200
21:37:58.849990800,POST,3702,200
21:37:59.461615600,POST,3091,200
21:37:59.175791100,POST,3381,200
21:37:58.112444700,POST,443,200
21:37:59.212768600,POST,3347,200
21:37:58.846992800,POST,3714,200
21:37:58.608139500,POST,3953,200
21:37:56.401495600,POST,2329,200
21:37:58.850990100,POST,3713,200
21:37:59.176790,POST,3388,200
21:37:59.467611800,POST,3098,200
21:37:58.608139500,POST,3958,200
21:38:02.565708400,POST,4,200
21:37:59.214767200,POST,3358,200
21:37:58.609140500,POST,3964,200
21:37:58.448238500,POST,74,200
21:37:58.847991700,POST,3729,200
21:37:59.209770300,POST,3367,200
